지점,지점명,일시,기온(°C),습도(%),지면온도(°C)
108,서울,2023-03-01 01:00,6.1,68,3.6
108,서울,2023-03-01 02:00,6.2,69,3.5
108,서울,2023-03-01 03:00,6,70,3
108,서울,2023-03-01 04:00,5.8,70,3.2
108,서울,2023-03-01 05:00,5.7,69,3.3
108,서울,2023-03-01 06:00,5.7,70,3.2
108,서울,2023-03-01 07:00,5.6,74,3
108,서울,2023-03-01 08:00,5.4,76,3.7
108,서울,2023-03-01 09:00,5.7,75,5.4
108,서울,2023-03-01 10:00,6.2,71,7.4
108,서울,2023-03-01 11:00,6.6,67,8.2
108,서울,2023-03-01 12:00,7.1,67,9.2
108,서울,2023-03-01 13:00,7.8,58,11.5
108,서울,2023-03-01 14:00,8.5,52,11.4
108,서울,2023-03-01 15:00,8.6,46,11.5
108,서울,2023-03-01 16:00,9,30,11.9
108,서울,2023-03-01 17:00,8.3,29,6.3
108,서울,2023-03-01 18:00,7.4,29,3.4
108,서울,2023-03-01 19:00,6.1,32,1.6
108,서울,2023-03-01 20:00,5.2,35,.6
108,서울,2023-03-01 21:00,4.6,35,-.1
108,서울,2023-03-01 22:00,3.9,39,-.6
108,서울,2023-03-01 23:00,3.3,41,-1.1
108,서울,2023-03-02 00:00,2.9,43,-.2
108,서울,2023-03-02 01:00,2.1,45,-.4
108,서울,2023-03-02 02:00,1.6,38,-.8
108,서울,2023-03-02 03:00,.9,36,-1.2
108,서울,2023-03-02 04:00,.1,35,-1.5
108,서울,2023-03-02 05:00,-.3,34,-1.7
108,서울,2023-03-02 06:00,-.8,38,-1.9
108,서울,2023-03-02 07:00,-1.3,39,-2.2
108,서울,2023-03-02 08:00,-1.4,39,-1.7
108,서울,2023-03-02 09:00,.5,33,.4
108,서울,2023-03-02 10:00,2,30,3.7
108,서울,2023-03-02 11:00,3,27,9.9
108,서울,2023-03-02 12:00,4.3,25,15.4
108,서울,2023-03-02 13:00,5.6,24,17.3
108,서울,2023-03-02 14:00,6,25,17.1
108,서울,2023-03-02 15:00,6.1,24,15.5
108,서울,2023-03-02 16:00,6.4,26,12.4
108,서울,2023-03-02 17:00,5.5,31,6
108,서울,2023-03-02 18:00,4,37,2.5
108,서울,2023-03-02 19:00,2.7,46,.5
108,서울,2023-03-02 20:00,2.1,49,-.5
108,서울,2023-03-02 21:00,1.9,57,.1
108,서울,2023-03-02 22:00,1.5,56,-.4
108,서울,2023-03-02 23:00,1.1,61,-.8
108,서울,2023-03-03 00:00,.8,52,-1.1
108,서울,2023-03-03 01:00,.1,54,-1.4
108,서울,2023-03-03 02:00,-.5,58,-1.7
108,서울,2023-03-03 03:00,-.9,62,-1.8
108,서울,2023-03-03 04:00,-1.2,60,-1.9
108,서울,2023-03-03 05:00,-1.1,59,-2.1
108,서울,2023-03-03 06:00,-1.6,63,-2.2
108,서울,2023-03-03 07:00,-1.7,68,-2.3
108,서울,2023-03-03 08:00,-1.4,71,-1.3
108,서울,2023-03-03 09:00,1.4,68,.2
108,서울,2023-03-03 10:00,4.2,60,3.6
108,서울,2023-03-03 11:00,6.8,55,11.6
108,서울,2023-03-03 12:00,8,52,16.4
108,서울,2023-03-03 13:00,9.3,50,16.4
108,서울,2023-03-03 14:00,8.9,56,13.2
108,서울,2023-03-03 15:00,9.8,55,13
108,서울,2023-03-03 16:00,9.6,57,12.2
108,서울,2023-03-03 17:00,9.2,59,8.9
108,서울,2023-03-03 18:00,8,67,6.5
108,서울,2023-03-03 19:00,7.3,71,4.9
108,서울,2023-03-03 20:00,7.1,71,4.6
108,서울,2023-03-03 21:00,6.4,74,3.1
108,서울,2023-03-03 22:00,5.8,76,1.9
108,서울,2023-03-03 23:00,5.2,79,1.7
108,서울,2023-03-04 00:00,5.6,79,2.2
108,서울,2023-03-04 01:00,5.4,80,2.3
108,서울,2023-03-04 02:00,5.3,79,2.6
108,서울,2023-03-04 03:00,4.8,81,1.3
108,서울,2023-03-04 04:00,4.2,82,.9
108,서울,2023-03-04 05:00,4.1,83,2.1
108,서울,2023-03-04 06:00,3.9,83,1.6
108,서울,2023-03-04 07:00,3.8,83,1.6
108,서울,2023-03-04 08:00,3.7,83,2.1
108,서울,2023-03-04 09:00,5,81,5.5
108,서울,2023-03-04 10:00,7.1,72,10.6
108,서울,2023-03-04 11:00,8.7,65,15
108,서울,2023-03-04 12:00,10.4,56,17.6
108,서울,2023-03-04 13:00,12,50,19.5
108,서울,2023-03-04 14:00,12.9,46,18.2
108,서울,2023-03-04 15:00,13.6,41,17.6
108,서울,2023-03-04 16:00,13.8,37,15.3
108,서울,2023-03-04 17:00,13.2,49,11.4
108,서울,2023-03-04 18:00,11.3,56,8.1
108,서울,2023-03-04 19:00,9.3,62,5.6
108,서울,2023-03-04 20:00,8.1,67,4.2
108,서울,2023-03-04 21:00,7.2,71,3.4
108,서울,2023-03-04 22:00,6.6,74,2.6
108,서울,2023-03-04 23:00,5.9,75,1.9
108,서울,2023-03-05 00:00,5.2,78,1.1
108,서울,2023-03-05 01:00,4.7,77,.7
108,서울,2023-03-05 02:00,4.1,80,.2
108,서울,2023-03-05 03:00,3.8,78,.2
108,서울,2023-03-05 04:00,3.7,80,.2
108,서울,2023-03-05 05:00,3.2,80,.2
108,서울,2023-03-05 06:00,2.9,82,.1
108,서울,2023-03-05 07:00,2.6,81,-.1
108,서울,2023-03-05 08:00,2.6,82,.1
108,서울,2023-03-05 09:00,4.9,76,4.5
108,서울,2023-03-05 10:00,7.4,68,10.8
108,서울,2023-03-05 11:00,10.2,56,15.6
108,서울,2023-03-05 12:00,12.8,46,19.1
108,서울,2023-03-05 13:00,14.1,40,20.8
108,서울,2023-03-05 14:00,14.7,38,20.9
108,서울,2023-03-05 15:00,14.9,39,18.8
108,서울,2023-03-05 16:00,15.3,30,16.7
108,서울,2023-03-05 17:00,14,27,11.6
108,서울,2023-03-05 18:00,12,28,8.1
108,서울,2023-03-05 19:00,10.3,30,5.4
108,서울,2023-03-05 20:00,8.8,35,3.8
108,서울,2023-03-05 21:00,7.5,40,2.7
108,서울,2023-03-05 22:00,6.4,42,1.8
108,서울,2023-03-05 23:00,5.9,42,1.2
108,서울,2023-03-06 00:00,5.3,43,.7
108,서울,2023-03-06 01:00,5,43,.2
108,서울,2023-03-06 02:00,4.6,40,.1
108,서울,2023-03-06 03:00,4.3,43,-.1
108,서울,2023-03-06 04:00,3.5,46,-.4
108,서울,2023-03-06 05:00,3.1,48,-.7
108,서울,2023-03-06 06:00,2.6,49,-1
108,서울,2023-03-06 07:00,2.3,52,-1.1
108,서울,2023-03-06 08:00,2.5,54,-.5
108,서울,2023-03-06 09:00,5.4,48,2.3
108,서울,2023-03-06 10:00,8.9,38,11.8
108,서울,2023-03-06 11:00,11.5,29,17.3
108,서울,2023-03-06 12:00,13.6,26,21.5
108,서울,2023-03-06 13:00,14.8,23,22.8
108,서울,2023-03-06 14:00,15.4,19,23.2
108,서울,2023-03-06 15:00,16.3,20,21.5
108,서울,2023-03-06 16:00,15.5,25,17.8
108,서울,2023-03-06 17:00,14.6,27,12.4
108,서울,2023-03-06 18:00,13.1,34,9.3
108,서울,2023-03-06 19:00,11.8,40,6.5
108,서울,2023-03-06 20:00,10.6,45,4.9
108,서울,2023-03-06 21:00,9.9,52,4.2
108,서울,2023-03-06 22:00,9.5,56,3.8
108,서울,2023-03-06 23:00,9.2,60,3.7
108,서울,2023-03-07 00:00,8.6,63,3.1
159,부산,2023-03-01 01:00,10.4,71,10.2
159,부산,2023-03-01 02:00,10.5,70,10.7
159,부산,2023-03-01 03:00,10.3,70,10.4
159,부산,2023-03-01 04:00,10,71,11.1
159,부산,2023-03-01 05:00,10.2,70,11.1
159,부산,2023-03-01 06:00,9.8,71,10.1
159,부산,2023-03-01 07:00,9.9,71,10.7
159,부산,2023-03-01 08:00,10.1,71,11.8
159,부산,2023-03-01 09:00,10.5,71,13.2
159,부산,2023-03-01 10:00,10.8,70,14.8
159,부산,2023-03-01 11:00,10.9,74,14.4
159,부산,2023-03-01 12:00,10.4,81,14.6
159,부산,2023-03-01 13:00,10.5,78,15.5
159,부산,2023-03-01 14:00,11.3,73,16.9
159,부산,2023-03-01 15:00,11.6,69,17.1
159,부산,2023-03-01 16:00,11.5,69,15.8
159,부산,2023-03-01 17:00,12,68,15.5
159,부산,2023-03-01 18:00,11.6,70,13.1
159,부산,2023-03-01 19:00,11.1,68,10.8
159,부산,2023-03-01 20:00,10.8,45,9.7
159,부산,2023-03-01 21:00,9.2,51,8.7
159,부산,2023-03-01 22:00,8.1,46,8
159,부산,2023-03-01 23:00,6.9,35,6.9
159,부산,2023-03-02 00:00,5.6,35,5.6
159,부산,2023-03-02 01:00,5.1,31,5
159,부산,2023-03-02 02:00,4.4,32,4.2
159,부산,2023-03-02 03:00,3.8,34,3.7
159,부산,2023-03-02 04:00,3.6,35,3.4
159,부산,2023-03-02 05:00,3.3,33,3.3
159,부산,2023-03-02 06:00,2.7,36,2.8
159,부산,2023-03-02 07:00,2.3,36,2.5
159,부산,2023-03-02 08:00,3,32,4.3
159,부산,2023-03-02 09:00,3.8,30,9.1
159,부산,2023-03-02 10:00,5.2,24,10.8
159,부산,2023-03-02 11:00,5.5,26,17.9
159,부산,2023-03-02 12:00,5.7,22,24.8
159,부산,2023-03-02 13:00,7.9,20,31.1
159,부산,2023-03-02 14:00,8.5,19,31.9
159,부산,2023-03-02 15:00,8.9,20,30.1
159,부산,2023-03-02 16:00,10.2,18,17.8
159,부산,2023-03-02 17:00,8.5,23,13.7
159,부산,2023-03-02 18:00,7.3,34,9.8
159,부산,2023-03-02 19:00,6.3,38,7.5
159,부산,2023-03-02 20:00,6.3,39,6.6
159,부산,2023-03-02 21:00,5.5,39,5.5
159,부산,2023-03-02 22:00,5,38,4.7
159,부산,2023-03-02 23:00,5.2,29,4.3
159,부산,2023-03-03 00:00,4.5,32,4.1
159,부산,2023-03-03 01:00,3.7,30,4.1
159,부산,2023-03-03 02:00,2.8,33,3.8
159,부산,2023-03-03 03:00,1.7,37,2.7
159,부산,2023-03-03 04:00,1.6,33,2.5
159,부산,2023-03-03 05:00,1.4,34,1.9
159,부산,2023-03-03 06:00,1.3,34,2.1
159,부산,2023-03-03 07:00,1.8,31,2.8
159,부산,2023-03-03 08:00,2.3,32,4.6
159,부산,2023-03-03 09:00,4.2,29,9.7
159,부산,2023-03-03 10:00,6,26,12
159,부산,2023-03-03 11:00,8.7,22,22.3
159,부산,2023-03-03 12:00,10.4,20,31.6
159,부산,2023-03-03 13:00,12,21,35
159,부산,2023-03-03 14:00,12.2,22,35.7
159,부산,2023-03-03 15:00,14,22,34.4
159,부산,2023-03-03 16:00,13.1,24,21
159,부산,2023-03-03 17:00,12.1,28,16
159,부산,2023-03-03 18:00,10.9,37,12.2
159,부산,2023-03-03 19:00,9.9,31,9.8
159,부산,2023-03-03 20:00,9.2,31,8.7
159,부산,2023-03-03 21:00,8.7,32,8.5
159,부산,2023-03-03 22:00,8.2,41,8.3
159,부산,2023-03-03 23:00,8.1,36,7.7
159,부산,2023-03-04 00:00,7.9,32,6.8
159,부산,2023-03-04 01:00,8.3,31,7.1
159,부산,2023-03-04 02:00,8.9,32,7.5
159,부산,2023-03-04 03:00,8.9,32,7.4
159,부산,2023-03-04 04:00,8.8,35,7.5
159,부산,2023-03-04 05:00,7.7,43,6.1
159,부산,2023-03-04 06:00,6.8,42,5
159,부산,2023-03-04 07:00,6.4,43,5.1
159,부산,2023-03-04 08:00,7,45,8
159,부산,2023-03-04 09:00,9.9,41,14
159,부산,2023-03-04 10:00,11.7,39,17.9
159,부산,2023-03-04 11:00,13.5,41,22.6
159,부산,2023-03-04 12:00,15.6,39,32.9
159,부산,2023-03-04 13:00,15.8,39,33.4
159,부산,2023-03-04 14:00,15.3,46,31.4
159,부산,2023-03-04 15:00,14.9,48,27.8
159,부산,2023-03-04 16:00,14.8,49,24.4
159,부산,2023-03-04 17:00,13.7,51,20.2
159,부산,2023-03-04 18:00,11.7,52,14.2
159,부산,2023-03-04 19:00,10.3,57,11.2
159,부산,2023-03-04 20:00,9.7,60,10
159,부산,2023-03-04 21:00,9.4,61,9.4
159,부산,2023-03-04 22:00,9,61,8.8
159,부산,2023-03-04 23:00,8.4,62,7.7
159,부산,2023-03-05 00:00,8,64,7.3
159,부산,2023-03-05 01:00,7.8,66,7
159,부산,2023-03-05 02:00,7.8,66,6.8
159,부산,2023-03-05 03:00,7.9,64,7.2
159,부산,2023-03-05 04:00,7.6,65,6.6
159,부산,2023-03-05 05:00,7.4,67,6.6
159,부산,2023-03-05 06:00,7.4,67,6.6
159,부산,2023-03-05 07:00,7.5,68,6.6
159,부산,2023-03-05 08:00,9.3,64,9.4
159,부산,2023-03-05 09:00,11.7,59,15.1
159,부산,2023-03-05 10:00,13.3,54,17.6
159,부산,2023-03-05 11:00,14.4,55,24.7
159,부산,2023-03-05 12:00,15.2,56,36.1
159,부산,2023-03-05 13:00,14,59,30.7
159,부산,2023-03-05 14:00,15.2,55,37.8
159,부산,2023-03-05 15:00,14.4,55,33.2
159,부산,2023-03-05 16:00,14.1,56,22.3
159,부산,2023-03-05 17:00,13,57,17.9
159,부산,2023-03-05 18:00,11.3,63,13.9
159,부산,2023-03-05 19:00,10.2,63,11.5
159,부산,2023-03-05 20:00,9.6,65,10.1
159,부산,2023-03-05 21:00,9.2,65,8.8
159,부산,2023-03-05 22:00,8.7,68,7.7
159,부산,2023-03-05 23:00,8.5,68,7.2
159,부산,2023-03-06 00:00,8,69,6.7
159,부산,2023-03-06 01:00,7.6,71,6.3
159,부산,2023-03-06 02:00,7.4,73,6.2
159,부산,2023-03-06 03:00,7.5,74,6.2
159,부산,2023-03-06 04:00,8.3,73,6.7
159,부산,2023-03-06 05:00,8.5,71,7.3
159,부산,2023-03-06 06:00,8.3,72,7.3
159,부산,2023-03-06 07:00,8.2,71,7
159,부산,2023-03-06 08:00,9.2,66,9.4
159,부산,2023-03-06 09:00,11.5,59,14.9
159,부산,2023-03-06 10:00,12.9,43,18
159,부산,2023-03-06 11:00,15.6,41,28.4
159,부산,2023-03-06 12:00,15.5,39,35.8
159,부산,2023-03-06 13:00,16.3,40,38.7
159,부산,2023-03-06 14:00,15.5,56,37.6
159,부산,2023-03-06 15:00,16.1,42,34.4
159,부산,2023-03-06 16:00,15.4,39,23.5
159,부산,2023-03-06 17:00,14.3,43,18.7
159,부산,2023-03-06 18:00,13.5,49,15.1
159,부산,2023-03-06 19:00,12.8,50,12.7
159,부산,2023-03-06 20:00,11.8,61,11.2
159,부산,2023-03-06 21:00,11,60,9.9
159,부산,2023-03-06 22:00,10.9,64,10.7
159,부산,2023-03-06 23:00,10.8,67,10.9
159,부산,2023-03-07 00:00,10.5,68,10
